sampleId	participant_id	MIC	run_accession	sample_accession	Experiment	Sample	SampleName	LibraryName	source_column	source_value	source_asv_column
sub-MIC015	sub-MIC015	MIC015	SRR25474132	SAMN36771222	SRX21206465	SRS18463942	MIC015	MIC015	SampleName	MIC015	SRR25474132
sub-MIC105	sub-MIC105	MIC105	SRR25474133	SAMN36771300	SRX21206464	SRS18463941	MIC105	MIC105	SampleName	MIC105	SRR25474133
sub-MIC104	sub-MIC104	MIC104	SRR25474134	SAMN36771299	SRX21206463	SRS18463939	MIC104	MIC104	SampleName	MIC104	SRR25474134
sub-MIC103	sub-MIC103	MIC103	SRR25474135	SAMN36771298	SRX21206462	SRS18463940	MIC103	MIC103	SampleName	MIC103	SRR25474135
sub-MIC102	sub-MIC102	MIC102	SRR25474136	SAMN36771297	SRX21206461	SRS18463938	MIC102	MIC102	SampleName	MIC102	SRR25474136
sub-MIC101	sub-MIC101	MIC101	SRR25474137	SAMN36771296	SRX21206460	SRS18463936	MIC101	MIC101	SampleName	MIC101	SRR25474137
sub-MIC100	sub-MIC100	MIC100	SRR25474138	SAMN36771295	SRX21206459	SRS18463937	MIC100	MIC100	SampleName	MIC100	SRR25474138
sub-MIC099	sub-MIC099	MIC099	SRR25474139	SAMN36771294	SRX21206458	SRS18463934	MIC099	MIC099	SampleName	MIC099	SRR25474139
sub-MIC098	sub-MIC098	MIC098	SRR25474140	SAMN36771293	SRX21206457	SRS18463935	MIC098	MIC098	SampleName	MIC098	SRR25474140
sub-MIC014	sub-MIC014	MIC014	SRR25474141	SAMN36771221	SRX21206456	SRS18463933	MIC014	MIC014	SampleName	MIC014	SRR25474141
sub-MIC097	sub-MIC097	MIC097	SRR25474142	SAMN36771292	SRX21206455	SRS18463932	MIC097	MIC097	SampleName	MIC097	SRR25474142
sub-MIC096	sub-MIC096	MIC096	SRR25474143	SAMN36771291	SRX21206454	SRS18463931	MIC096	MIC096	SampleName	MIC096	SRR25474143
sub-MIC095	sub-MIC095	MIC095	SRR25474144	SAMN36771290	SRX21206453	SRS18463930	MIC095	MIC095	SampleName	MIC095	SRR25474144
sub-MIC094	sub-MIC094	MIC094	SRR25474145	SAMN36771289	SRX21206452	SRS18463929	MIC094	MIC094	SampleName	MIC094	SRR25474145
sub-MIC093	sub-MIC093	MIC093	SRR25474146	SAMN36771288	SRX21206451	SRS18463928	MIC093	MIC093	SampleName	MIC093	SRR25474146
sub-MIC092	sub-MIC092	MIC092	SRR25474147	SAMN36771287	SRX21206450	SRS18463927	MIC092	MIC092	SampleName	MIC092	SRR25474147
sub-MIC091	sub-MIC091	MIC091	SRR25474148	SAMN36771286	SRX21206449	SRS18463926	MIC091	MIC091	SampleName	MIC091	SRR25474148
sub-MIC090	sub-MIC090	MIC090	SRR25474149	SAMN36771285	SRX21206448	SRS18463925	MIC090	MIC090	SampleName	MIC090	SRR25474149
sub-MIC088	sub-MIC088	MIC088	SRR25474150	SAMN36771284	SRX21206447	SRS18463924	MIC088	MIC088	SampleName	MIC088	SRR25474150
sub-MIC087	sub-MIC087	MIC087	SRR25474151	SAMN36771283	SRX21206446	SRS18463923	MIC087	MIC087	SampleName	MIC087	SRR25474151
sub-MIC013	sub-MIC013	MIC013	SRR25474152	SAMN36771220	SRX21206445	SRS18463921	MIC013	MIC013	SampleName	MIC013	SRR25474152
sub-MIC085	sub-MIC085	MIC085	SRR25474153	SAMN36771282	SRX21206444	SRS18463922	MIC085	MIC085	SampleName	MIC085	SRR25474153
