clade_name	sub-MIC015	sub-MIC105	sub-MIC104	sub-MIC103	sub-MIC102	sub-MIC101	sub-MIC100	sub-MIC099	sub-MIC098	sub-MIC014	sub-MIC097	sub-MIC096	sub-MIC095	sub-MIC094	sub-MIC093	sub-MIC092	sub-MIC091	sub-MIC090	sub-MIC088	sub-MIC087	sub-MIC013	sub-MIC085	sub-MIC084	sub-MIC083	sub-MIC082	sub-MIC081	sub-MIC080	sub-MIC079	sub-MIC078	sub-MIC077	sub-MIC076	sub-MIC012	sub-MIC073	sub-MIC072	sub-MIC071	sub-MIC070	sub-MIC069	sub-MIC068	sub-MIC065	sub-MIC064	sub-MIC063	sub-MIC061	sub-MIC010	sub-MIC060	sub-MIC059	sub-MIC057	sub-MIC056	sub-MIC053	sub-MIC052	sub-MIC051	sub-MIC049	sub-MIC048	sub-MIC017	sub-MIC016	sub-MIC003	sub-MIC002	sub-MIC047	sub-MIC009	sub-MIC046	sub-MIC045	sub-MIC044	sub-MIC043	sub-MIC042	sub-MIC041	sub-MIC040	sub-MIC039	sub-MIC038	sub-MIC037	sub-MIC008	sub-MIC036	sub-MIC035	sub-MIC034	sub-MIC033	sub-MIC032	sub-MIC031	sub-MIC029	sub-MIC028	sub-MIC027	sub-MIC026	sub-MIC005	sub-MIC025	sub-MIC024	sub-MIC023	sub-MIC022	sub-MIC021	sub-MIC020	sub-MIC019	sub-MIC018
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	30362	55730	50442	56852	51410	41152	43996	47591	48576	36863	46306	45884	46247	52379	35620	56955	43899	52780	44083	47520	33432	59270	61848	62798	65311	67353	73331	60234	73467	61681	65768	24927	86913	60213	48565	43508	38941	52681	44900	57182	53982	55474	19726	45912	65837	36167	39881	77181	51852	46068	32689	39612	36678	34378	21221	49679	29290	31442	32893	27107	37412	25150	44450	38175	33336	34982	38404	26229	23073	45197	50109	37347	43391	34901	54613	44291	43898	21319	42666	22044	30662	29879	33638	35118	41257	37901	25566	30877
k__Archaea___p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota	2	755	132	184	248	75	44	137	33	26	33	108	143	598	262	222	37	260	819	28	195	50	203	153	235	45	192	141	163	138	220	2	3015	723	361	31	275	177	7	13	232	10	9	101	81	548	193	0	95	379	0	5	29	43	80	6	198	17	89	2	59	7	479	8	207	0	3	170	0	89	22	56	59	5	35	51	46	7	49	35	15	10	12	17	10	17	28	0
k__Bacteria___p__Bacillota	19445	24096	20784	13277	23858	13110	11018	11774	23911	18374	16050	10905	18376	7679	16806	13731	20263	23311	10561	16885	16174	25680	30858	14054	14297	11973	39746	21216	37361	29873	26311	16662	47129	33684	23992	22885	26110	23743	18748	21833	28284	23684	15159	11388	18372	8116	24198	19171	19834	34587	20139	14145	19025	15494	6806	15515	18414	9455	13905	14439	18109	10214	25265	15922	18407	11274	14449	13609	15068	22458	18495	11335	12893	13951	43627	30561	24199	6695	25334	14293	8389	11202	12037	13388	6149	13979	13091	9317
k__Bacteria___p__Bacteroidota	10650	29834	28250	42782	19501	19551	31981	11633	14849	17835	28056	32331	26598	43486	16896	14224	21153	26719	31833	15866	16833	30346	30388	40763	49679	53426	31692	32086	31880	26728	38274	7670	35111	24277	22419	19067	9136	26771	23211	33802	21671	29843	3553	26435	46445	24563	12687	56466	9576	9963	12417	12007	14026	18035	13311	33665	10452	21695	18532	12495	18895	14522	18432	21764	14349	21270	23858	11265	7520	22479	31421	24445	30133	20170	8818	11811	19393	14265	17021	7393	21501	16148	20863	21443	22899	23419	8255	13400
k__Bacteria___p__Campylobacterota	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	7	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Candidatus Kryptonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Cyanobacteriota	0	0	0	0	33	0	0	0	36	0	1286	0	0	0	215	0	545	0	0	72	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	248	1155	0	0	256	7948	0	18	998	0	193	0	0	150	3177	343	400	0	0	89	0	2	0	0	0	29	78	0	0	0	7	0	0	0	0	0	72	0	0	299	0	0	0	548	0	0	15	0	0	27
