embedding_id	sub-MIC002	sub-MIC003	sub-MIC005	sub-MIC008	sub-MIC009	sub-MIC010	sub-MIC012	sub-MIC013	sub-MIC014	sub-MIC015	sub-MIC016	sub-MIC017	sub-MIC018	sub-MIC019	sub-MIC020	sub-MIC021	sub-MIC022	sub-MIC023	sub-MIC024	sub-MIC025	sub-MIC026	sub-MIC027	sub-MIC028	sub-MIC029	sub-MIC031	sub-MIC032	sub-MIC033	sub-MIC034	sub-MIC035	sub-MIC036	sub-MIC037	sub-MIC038	sub-MIC039	sub-MIC040	sub-MIC041	sub-MIC042	sub-MIC043	sub-MIC044	sub-MIC045	sub-MIC046	sub-MIC047	sub-MIC048	sub-MIC049	sub-MIC051	sub-MIC052	sub-MIC053	sub-MIC056	sub-MIC057	sub-MIC059	sub-MIC060	sub-MIC061	sub-MIC063	sub-MIC064	sub-MIC065	sub-MIC068	sub-MIC069	sub-MIC070	sub-MIC071	sub-MIC072	sub-MIC073	sub-MIC076	sub-MIC077	sub-MIC078	sub-MIC079	sub-MIC080	sub-MIC081	sub-MIC082	sub-MIC083	sub-MIC084	sub-MIC085	sub-MIC087	sub-MIC088	sub-MIC090	sub-MIC091	sub-MIC092	sub-MIC093	sub-MIC094	sub-MIC095	sub-MIC096	sub-MIC097	sub-MIC098	sub-MIC099	sub-MIC100	sub-MIC101	sub-MIC102	sub-MIC103	sub-MIC104	sub-MIC105
embedding_0000	-0.23286964	-0.21249186	-0.22363357	-0.20160598	-0.23675394	-0.12610242	-0.21068646	-0.12520427	-0.17616376	-0.089855395	-0.16122691	-0.23309483	-0.2681043	-0.13864215	-0.22739697	-0.15947986	-0.21769293	-0.20736101	-0.18069579	-0.16966522	-0.23473155	-0.19595945	-0.2213183	-0.22470534	-0.12816922	-0.21236748	-0.29863814	-0.2816022	-0.27297148	-0.17658459	-0.24502109	-0.11597575	-0.1282192	-0.24168327	-0.10678643	-0.25193387	-0.2211131	-0.11868067	-0.18860076	-0.04615617	-0.0834099	-0.16309409	-0.20422421	-0.16075821	-0.14072952	-0.4169128	-0.22385554	-0.16012284	-0.23949671	-0.22106352	-0.1607892	-0.23824081	-0.16341354	-0.21110283	-0.16490906	-0.16348307	-0.26825544	-0.25086543	-0.15327103	-0.16288748	-0.244334	-0.22247066	-0.19611461	-0.17564727	-0.22350556	-0.19366483	-0.17660445	-0.2568703	-0.21042246	-0.18129058	-0.084925085	-0.15123792	-0.118771486	-0.1409109	-0.17386825	-0.26504925	-0.22136205	-0.19489592	-0.08525349	-0.23463817	-0.14739253	-0.26549876	-0.21684077	-0.2560774	-0.22495978	-0.19477592	-0.12015197	-0.20874666
embedding_0001	0.21635194	0.19911009	0.19974314	0.17453225	0.21366087	0.2603109	0.25011495	0.23854092	0.18321341	0.1474457	0.27806032	0.18392433	0.23392424	0.16979788	0.19414009	0.21206114	0.18044025	0.2206036	0.23892486	0.18363418	0.19507337	0.1756947	0.21522221	0.19595757	0.22288936	0.18903962	0.14000952	0.25493518	0.17080297	0.18592004	0.18143438	0.2266731	0.1839799	0.20391865	0.20320955	0.2113805	0.17082724	0.23592983	0.17113058	0.23537153	0.19562776	0.2807975	0.18199573	0.18066189	0.21327953	0.17176452	0.19778188	0.1692961	0.20481989	0.19800104	0.17188527	0.17991838	0.24855481	0.2203974	0.20827143	0.13821915	0.15280184	0.2213185	0.25621176	0.18332148	0.2006652	0.25349256	0.12511005	0.21366104	0.17265707	0.18187927	0.22279385	0.1843543	0.18974909	0.15601492	0.18736584	0.18232213	0.21166334	0.13784783	0.15335344	0.16954412	0.17671233	0.17290767	0.28109822	0.16931616	0.18679558	0.25314248	0.17760949	0.1577981	0.204915	0.17884974	0.19766396	0.26909643
embedding_0002	0.078278735	0.09662373	0.078280605	0.17592725	0.18826644	-0.008368279	0.050256	0.1623232	0.0670235	0.09034422	0.1077919	0.020651734	0.068383306	0.088960275	0.15589416	0.13396615	0.025995057	0.07885536	0.1360826	0.18430178	0.11606025	0.15296724	0.07995788	0.030316573	0.18386929	0.10463214	0.2030696	0.13970634	0.18049544	0.17426926	0.05712568	0.10917344	0.055869706	0.11936451	0.17073545	0.13792856	0.15889141	0.11551196	0.08826209	0.085837185	0.15498656	0.046451896	0.115052246	0.07033682	0.03850475	0.1267785	0.13334084	0.16638084	0.14919244	0.15217943	0.050269198	0.09118955	0.020061014	0.102208324	0.15136869	0.05124246	0.25854266	0.11958202	0.06876622	0.1336982	0.12810554	0.043259922	0.12573172	0.17310657	0.26268256	0.19161488	0.12402646	0.14699602	0.17878617	0.103160016	0.09812069	0.07013185	0.09331894	0.065938726	0.04167322	0.16710283	0.0707791	0.07236628	0.21062793	0.18453583	0.09406995	0.16459799	0.14907634	0.13258351	0.107104756	0.23435754	0.0800488	0.115971155
embedding_0003	0.23036298	0.29880607	0.34749195	0.30071712	0.3606611	0.350293	0.3392628	0.27762574	0.39208692	0.31399503	0.37629423	0.2975986	0.3149966	0.37164494	0.38061973	0.35436413	0.3083727	0.36966488	0.33427906	0.39655173	0.39350474	0.3881346	0.32885695	0.38276187	0.3424637	0.34416795	0.40493807	0.2914424	0.48999554	0.31808382	0.39849558	0.30217442	0.3235881	0.32058996	0.34385523	0.39826053	0.3651962	0.31030744	0.35824764	0.3057723	0.42682815	0.30348286	0.3790485	0.36728117	0.26559392	0.416051	0.37067464	0.37641254	0.33396515	0.33506054	0.34370473	0.36853093	0.2691565	0.2633764	0.3448407	0.27379397	0.4432258	0.38544846	0.3100228	0.33322927	0.34046307	0.29936546	0.48176712	0.3547744	0.35502338	0.36827695	0.3409239	0.41307646	0.40484884	0.3736964	0.3398441	0.41198662	0.3104603	0.34274408	0.33659813	0.4040339	0.4026526	0.37116027	0.30687252	0.34928888	0.388406	0.37336928	0.3429821	0.3714431	0.36030018	0.40546176	0.36957547	0.36111948
embedding_0004	-1.3520854	-1.3290157	-1.3665092	-1.3721712	-1.4508878	-1.2221328	-1.4107512	-1.3139023	-1.3660883	-1.2138482	-1.3838264	-1.3639864	-1.3950176	-1.3375702	-1.3681102	-1.331447	-1.3619168	-1.38634	-1.3483261	-1.3436924	-1.373078	-1.4097284	-1.3756714	-1.3770813	-1.3948348	-1.4017727	-1.500231	-1.3982357	-1.3616927	-1.3201404	-1.3770696	-1.29038	-1.3131047	-1.4002914	-1.329765	-1.4465915	-1.4099851	-1.3034793	-1.3385956	-1.2165585	-1.2848659	-1.3060113	-1.3523309	-1.2966353	-1.2807645	-1.5274216	-1.4183898	-1.3169782	-1.4136304	-1.3718263	-1.3691238	-1.3600174	-1.3001574	-1.3170667	-1.3679777	-1.3483639	-1.4824822	-1.3631859	-1.3575075	-1.3209602	-1.4268612	-1.3499627	-1.3194877	-1.4024563	-1.4403195	-1.430767	-1.3580056	-1.4111326	-1.4323056	-1.3277695	-1.3038449	-1.3358601	-1.3235642	-1.3617544	-1.3125452	-1.4405727	-1.3042449	-1.3022826	-1.3393557	-1.4148968	-1.327051	-1.4778506	-1.3950025	-1.3695102	-1.367106	-1.4247642	-1.3054651	-1.363078
embedding_0005	-1.7853734	-1.8002816	-1.7200004	-1.7940375	-1.661962	-1.7999301	-1.7419716	-1.7219001	-1.7105755	-1.7916827	-1.7163488	-1.8169457	-1.7924618	-1.7004231	-1.7519962	-1.7218993	-1.7993317	-1.7174437	-1.7621728	-1.6421032	-1.7313083	-1.72573	-1.7715899	-1.7972579	-1.6504307	-1.761331	-1.6805736	-1.7931408	-1.7497579	-1.7294215	-1.723844	-1.7635258	-1.7599761	-1.7755903	-1.7101158	-1.7025745	-1.694106	-1.7089489	-1.6975036	-1.6997906	-1.66177	-1.835031	-1.7160383	-1.7126558	-1.8491708	-1.7274331	-1.6694341	-1.7311025	-1.7419524	-1.8060597	-1.752142	-1.7646731	-1.8132148	-1.8167568	-1.6891482	-1.7992535	-1.7060797	-1.7455963	-1.7412437	-1.7410973	-1.7791123	-1.8422703	-1.668083	-1.6694131	-1.6887437	-1.7027097	-1.7500339	-1.7323756	-1.676476	-1.7423687	-1.7094926	-1.68201	-1.7371995	-1.798503	-1.7409031	-1.7315619	-1.7661152	-1.7770131	-1.7345551	-1.7438153	-1.7322844	-1.7242459	-1.7467579	-1.7162269	-1.7240094	-1.6660745	-1.7151779	-1.785283
embedding_0006	-0.53225714	-0.5024694	-0.42496377	-0.42539436	-0.38727242	-0.5539516	-0.48279774	-0.5089853	-0.47575095	-0.4616504	-0.41594157	-0.46596628	-0.52944356	-0.47446403	-0.4389037	-0.40348622	-0.5190022	-0.50770545	-0.44742003	-0.41582045	-0.4569176	-0.48047775	-0.5053668	-0.4518725	-0.40148178	-0.48774567	-0.46900508	-0.38404915	-0.35713515	-0.46526572	-0.42582646	-0.48762622	-0.5560067	-0.44973916	-0.5000673	-0.45338038	-0.44287655	-0.4357256	-0.47829774	-0.45441657	-0.4102455	-0.46393824	-0.4851348	-0.45226976	-0.5064699	-0.4687538	-0.4412833	-0.48454565	-0.40939224	-0.4806135	-0.5292469	-0.45848686	-0.5506193	-0.44631982	-0.40667322	-0.47913226	-0.44026476	-0.4974698	-0.40707874	-0.47589967	-0.4800364	-0.50607586	-0.44709027	-0.42654747	-0.36949462	-0.46431988	-0.4126204	-0.4454809	-0.4454937	-0.42394042	-0.39155883	-0.44944134	-0.4745645	-0.4860251	-0.5091885	-0.43915513	-0.55156285	-0.5425534	-0.50499165	-0.40690404	-0.46263126	-0.47042707	-0.47014165	-0.4308446	-0.4505593	-0.4273723	-0.48255062	-0.460208
embedding_0007	-0.20434508	-0.105708025	-0.11521106	-0.10990527	-0.19406548	-0.097033046	-0.17551112	-0.025454791	-0.12169532	-0.049641363	-0.13817301	-0.1123227	-0.15310925	-0.109833464	-0.09117503	-0.11682328	-0.15656455	-0.13502993	-0.085495956	-0.1269926	-0.057321418	-0.14368577	-0.13100094	-0.13246126	-0.12323957	-0.101869754	-0.1604559	-0.12087687	-0.105486296	-0.08305805	-0.1334512	-0.13226545	-0.14519799	-0.10356741	-0.08161947	-0.1308858	-0.10382116	-0.092707455	-0.13102444	-0.05690994	-0.06205588	-0.025487026	-0.12484014	-0.11547381	-0.050517567	-0.22199169	-0.14709121	-0.08144015	-0.12911001	-0.10697458	-0.12630808	-0.12811393	-0.08777531	-0.15216503	-0.072346896	-0.034579005	-0.15494749	-0.098617055	-0.06377362	-0.105274744	-0.12088561	-0.141184	-0.12395955	-0.094105825	-0.04203926	-0.13779105	-0.13264768	-0.15136668	-0.17305456	-0.11019883	-0.035622712	-0.1614088	-0.06576241	-0.041990418	-0.09466094	-0.1558821	-0.19000539	-0.09852035	-0.120676234	-0.13316312	-0.12216138	-0.12893663	-0.10940998	-0.14720242	-0.15271083	-0.08666592	-0.07686349	-0.11634756
embedding_0008	-0.44022968	-0.52529794	-0.45843694	-0.47623292	-0.42614096	-0.53587615	-0.5133641	-0.49048552	-0.5629707	-0.61852634	-0.568717	-0.5457864	-0.48298895	-0.59463805	-0.5293617	-0.53356516	-0.5186575	-0.573028	-0.53055495	-0.5080253	-0.5726884	-0.56571513	-0.45158187	-0.46659195	-0.55668503	-0.47916663	-0.3930239	-0.5291895	-0.45510212	-0.5127809	-0.56175685	-0.5070441	-0.4518812	-0.56827974	-0.6292883	-0.54886204	-0.5348884	-0.46069536	-0.5688476	-0.5854581	-0.62157804	-0.66124356	-0.5591403	-0.5885914	-0.55232847	-0.5240712	-0.5612672	-0.4951791	-0.50216883	-0.5694123	-0.5248484	-0.5230038	-0.48180273	-0.5197755	-0.48741367	-0.60284173	-0.4202149	-0.50854266	-0.50136673	-0.5548613	-0.5284143	-0.5621974	-0.5378959	-0.5267793	-0.52905154	-0.52102655	-0.5128258	-0.5718481	-0.5149251	-0.56014097	-0.6283816	-0.5077931	-0.5696232	-0.56662863	-0.56006813	-0.54177386	-0.558674	-0.5330345	-0.5309346	-0.52894306	-0.56428236	-0.5103994	-0.49819124	-0.46550706	-0.5790901	-0.5373252	-0.5909877	-0.44608948
embedding_0009	-0.31011143	-0.2485495	-0.08679935	-0.21202599	-0.14639077	-0.36717802	-0.2477482	-0.24919713	-0.20955582	-0.29564524	-0.23413433	-0.20807976	-0.31158608	-0.21644148	-0.24194732	-0.2731189	-0.24231227	-0.21823992	-0.17422321	-0.2301148	-0.18184224	-0.21936125	-0.16692021	-0.13102168	-0.31512782	-0.2087084	-0.11902119	-0.26974818	-0.10481768	-0.26770365	-0.18480618	-0.23049822	-0.3063002	-0.21413971	-0.3068258	-0.18655114	-0.18069965	-0.35802007	-0.2878428	-0.36228245	-0.24431416	-0.28016353	-0.18384059	-0.22330134	-0.26389885	-0.124698035	-0.23914951	-0.19615702	-0.29330006	-0.23880917	-0.18275449	-0.23911539	-0.20956324	-0.23349279	-0.15479104	-0.35375768	-0.16187504	-0.18511193	-0.13488844	-0.24834582	-0.18658738	-0.20680572	-0.14847656	-0.21204862	-0.2590834	-0.21334103	-0.1712929	-0.22680438	-0.23133598	-0.18764792	-0.23444158	-0.22926816	-0.237212	-0.19643305	-0.26726857	-0.19650884	-0.18063062	-0.16041292	-0.32069206	-0.23502998	-0.19636542	-0.1545163	-0.24534264	-0.17057346	-0.24122171	-0.3873065	-0.2962082	-0.27119648
