clade_name	SRR11944139	SRR11944140	SRR11944141	SRR11944142	SRR11944143	SRR11944144	SRR11944145	SRR11944146	SRR11944147	SRR11944148	SRR11944149	SRR11944150	SRR11944151	SRR11944152	SRR11944153	SRR11944154	SRR11944155	SRR11944156	SRR11944157	SRR11944158	SRR11944159	SRR11944160	SRR11944161	SRR11944162	SRR11944163	SRR11944164	SRR11944165	SRR11944166	SRR11944167	SRR11944168	SRR11944169	SRR11944170	SRR11944171	SRR11944172	SRR11944173	SRR11944174	SRR11944175	SRR11944176	SRR11944177	SRR11944178	SRR11944179	SRR11944180	SRR11944181	SRR11944182	SRR11944183	SRR11944184	SRR11944185	SRR11944186	SRR11944187	SRR11944188	SRR11944189	SRR11944190	SRR11944191	SRR11944192	SRR11944193	SRR11944194	SRR11944195	SRR11944196	SRR11944197	SRR11944198	SRR11944199	SRR11944200	SRR11944201	SRR11944202	SRR11944204	SRR11944205	SRR11944206	SRR11944207	SRR11944208	SRR11944209	SRR11944210	SRR11944211	SRR11944212	SRR11944213	SRR11944214	SRR11944215	SRR11944216	SRR11944217	SRR11944218	SRR11944219	SRR11944220	SRR11944221	SRR11944222	SRR11944223	SRR11944224	SRR11944225	SRR11944226	SRR11944227	SRR11944228	SRR11944229	SRR11944230	SRR11944231	SRR11944232	SRR11944233	SRR11944234	SRR11944235	SRR11944236	SRR11944237	SRR11944238	SRR11944239	SRR11944240	SRR11944241	SRR11944242	SRR11944243	SRR11944244	SRR11944245	SRR11944246	SRR11944247	SRR11944248	SRR11944249
d__Bacteria___p__Actinobacteriota	978	3467	786	1114	378	567	2836	1858	284	766	5176	67	358	899	559	153	3027	918	4641	3902	978	0	2153	2496	380	4367	4383	1430	2044	309	3673	3250	5723	1048	2360	1225	2333	2348	0	504	1137	3726	2039	935	694	1131	991	2855	910	608	592	369	681	433	3636	2136	4	3466	3155	5055	686	4000	1189	963	838	1394	2427	199	1823	60	106	1683	1102	941	3713	688	1280	828	940	2684	1129	4795	555	4066	4006	382	439	547	4599	1534	1583	0	3373	1211	32	1887	701	2801	812	1920	358	43	787	3462	2363	609	4526	438	5860	5606
d__Bacteria___p__Actinobacteriota___c__Actinobacteria	558	3305	141	777	378	518	2796	1121	284	766	5176	12	20	522	109	138	2842	591	3758	3883	978	0	2153	2496	0	3736	2900	936	332	86	2106	3250	4219	466	935	723	1031	1708	0	106	171	3398	1774	700	208	642	782	2816	392	161	514	91	681	85	3562	1648	4	3259	2184	3937	331	2790	1185	365	838	1281	2069	0	1032	60	10	980	243	545	2564	665	1014	226	0	2684	1129	4778	13	3249	3220	177	162	441	2632	1534	904	0	3191	544	32	1887	657	2719	0	0	11	43	437	986	1009	427	2807	438	5860	4703
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales	8	0	0	0	0	0	24	0	0	3	0	0	0	17	11	0	47	9	0	0	29	0	0	8	0	0	7	17	7	0	12	0	39	0	0	10	0	13	0	0	21	11	6	12	9	0	15	5	11	2	0	0	33	0	0	8	0	0	0	7	0	3	0	0	10	11	20	0	5	0	0	42	0	0	6	16	13	7	0	8	82	11	13	20	0	0	11	0	12	2	0	0	0	6	19	39	0	9	0	0	11	5	47	30	25	61	0	21	24	49
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae	8	0	0	0	0	0	24	0	0	3	0	0	0	17	11	0	47	9	0	0	29	0	0	8	0	0	7	17	7	0	12	0	39	0	0	10	0	13	0	0	21	11	6	12	9	0	15	5	11	2	0	0	33	0	0	8	0	0	0	7	0	3	0	0	10	11	20	0	5	0	0	42	0	0	6	16	13	7	0	8	82	11	13	20	0	0	11	0	12	2	0	0	0	6	19	39	0	9	0	0	11	5	47	30	25	61	0	21	24	49
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Actinomyces	8	0	0	0	0	0	24	0	0	3	0	0	0	17	11	0	47	9	0	0	29	0	0	8	0	0	7	17	7	0	12	0	39	0	0	10	0	13	0	0	21	11	6	12	9	0	15	5	11	2	0	0	33	0	0	8	0	0	0	7	0	3	0	0	10	6	0	0	5	0	0	42	0	0	6	16	13	7	0	8	82	11	13	20	0	0	11	0	12	2	0	0	0	6	19	39	0	9	0	0	11	5	0	21	25	61	0	21	24	49
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__F0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	6	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales	550	3305	141	775	378	518	2767	1121	284	763	5176	12	20	505	98	138	2795	582	3758	3883	949	0	2153	2477	0	3736	2893	917	325	86	2094	3250	4180	466	935	713	1031	1695	0	106	150	3372	1768	688	199	642	767	2811	381	159	514	91	648	85	3562	1640	4	3259	2184	3930	331	2787	1185	365	828	1270	2049	0	1027	60	10	938	243	545	2558	649	1001	219	0	2676	1047	4767	0	3229	3220	177	151	441	2620	1532	904	0	3191	538	13	1848	657	2710	0	0	0	38	390	956	984	366	2807	415	5836	4652
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae	550	3305	141	775	378	518	2767	1121	284	763	5176	12	20	505	98	138	2795	582	3758	3883	949	0	2153	2477	0	3736	2893	917	325	86	2094	3250	4180	466	935	713	1031	1695	0	106	150	3372	1768	688	199	642	767	2811	381	159	514	91	648	85	3562	1640	4	3259	2184	3930	331	2787	1185	365	828	1270	2049	0	1027	60	10	938	243	545	2558	649	1001	219	0	2676	1047	4767	0	3229	3220	177	151	441	2620	1532	904	0	3191	538	13	1848	657	2710	0	0	0	38	390	956	984	366	2807	415	5836	4652
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
