clade_name	SRR8417368	SRR8417371	SRR8417382	SRR8417384	SRR8417386	SRR8417394	SRR8417395	SRR8417398	SRR8417399	SRR8417407	SRR8417412	SRR8417413	SRR8417418	SRR8417422	SRR8417444	SRR8417446	SRR8417447	SRR8417450	SRR8417452	SRR8417454	SRR8417458	SRR8417460	SRR8417461	SRR8417463	SRR8417464	SRR8417465	SRR8417467	SRR8417469	SRR8417475	SRR8417480	SRR8417496	SRR8417499	SRR8417500	SRR8417501	SRR8417502	SRR8417503	SRR8417505	SRR8417510	SRR8417512	SRR8417516	SRR8417529	SRR8417534	SRR8417535	SRR8417536	SRR8417538	SRR8417542	SRR8417558	SRR8417559	SRR8417561	SRR8417565	SRR8417567	SRR8417569	SRR8417572	SRR8417591	SRR8417593	SRR8417595	SRR8417597
d__Bacteria___p__Actinobacteriota	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Bogoriellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Bogoriellaceae___g__Georgenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota	427	147	1118	301	34	16	354	20	435	129	36	0	192	166	258	249	15	55	157	542	69	158	193	381	44	52	74	362	235	297	357	52	211	60	310	179	344	81	291	179	12	37	520	198	827	535	189	314	215	179	878	255	0	233	166	111	240
d__Bacteria___p__Bacteroidota___c__Bacteroidia	427	147	1118	301	34	16	354	20	435	129	36	0	192	166	258	249	15	55	157	542	69	158	193	381	44	52	74	362	235	297	357	52	211	60	310	179	344	81	291	179	12	37	520	198	827	535	189	314	215	179	878	255	0	233	166	111	240
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales	427	147	1118	293	34	16	354	20	435	129	36	0	192	166	258	249	15	55	157	542	69	158	191	381	44	52	74	362	235	297	357	52	211	60	310	179	344	81	291	177	12	37	520	198	827	535	189	314	215	179	878	255	0	233	166	111	240
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Bacteroidaceae	402	92	987	133	13	13	308	20	418	84	27	0	123	106	172	243	0	20	153	265	31	46	93	339	7	29	47	297	24	7	348	52	211	60	310	179	259	13	110	56	12	28	482	169	811	496	140	276	200	20	581	146	0	112	60	0	216
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Bacteroidaceae___g__Bacteroides	402	92	987	133	13	13	308	20	418	84	27	0	123	106	172	243	0	20	153	265	31	46	93	339	7	29	47	297	24	7	348	52	211	60	310	179	259	13	110	56	12	28	482	169	811	496	140	276	200	20	581	146	0	112	60	0	216
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae	0	0	3	23	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae___g__Barnesiella	0	0	3	23	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae___g__Coprobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Marinifilaceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Marinifilaceae___g__Butyricimonas	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Marinifilaceae___g__Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Muribaculaceae___g__CAG-873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	0	0	24	52	0	0	0	6	0	0	0	124	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	77	97	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	70	0	0	0	0	0	0
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Prevotella	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	39	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
