clade_name	DN1	DN10	DN11	DN12	DN13	DN14	DN15	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9	HN1	HN10	HN11	HN12	HN13	HN14	HN15	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9
d__Archaea___p__Euryarchaeota	14	162	0	266	66	0	0	0	94	0	0	133	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0
d__Archaea___p__Euryarchaeota___c__Methanobacteria	14	162	0	266	66	0	0	0	94	0	0	133	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0
d__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales	14	162	0	266	66	0	0	0	94	0	0	133	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0
d__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae	14	162	0	266	66	0	0	0	94	0	0	133	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0
d__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae___g__Methanobrevibacter	14	162	0	266	66	0	0	0	94	0	0	133	0	0	0	0	62	0	0	0	0	56	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales___f__Methanomethylophilaceae	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota	0	432	1896	1469	1223	31	1020	2560	376	148	8	65	407	113	1563	22	64	12	7	136	189	4401	1739	10	53	3944	2702	764	21	215
d__Bacteria___p__Actinobacteriota___c__Actinobacteria	0	267	1082	1133	970	0	719	2463	340	135	0	58	370	107	1528	22	46	8	5	126	181	4325	1615	10	28	3882	2693	563	7	207
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales	0	4	23	0	0	0	3	0	0	0	0	0	0	7	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae	0	4	23	0	0	0	3	0	0	0	0	0	0	7	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Actinomyces	0	4	23	0	0	0	3	0	0	0	0	0	0	7	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales	0	263	1055	1133	970	0	716	2463	340	135	0	58	370	100	1523	22	46	8	5	126	178	4320	1615	10	28	3882	2693	563	0	203
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae	0	263	1055	1133	970	0	716	2463	340	135	0	58	370	100	1523	22	46	8	5	126	178	4320	1615	10	28	3882	2693	563	0	203
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Bifidobacterium	0	263	1055	1133	970	0	716	2463	340	135	0	58	370	100	1523	22	46	8	5	126	178	4320	1615	10	28	3882	2693	563	0	203
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales___f__Corynebacteriaceae	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales___f__Corynebacteriaceae___g__Corynebacterium	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	4
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	4
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae___g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	4
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia	0	165	814	336	253	31	301	97	36	13	8	7	37	6	35	0	18	4	2	10	8	76	124	0	25	62	9	201	14	8
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales	0	165	814	336	253	31	301	97	36	13	8	7	37	6	35	0	18	4	2	10	8	76	124	0	25	62	9	201	14	8
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Libanicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriaceae	0	5	741	54	75	0	55	11	0	0	0	0	0	0	27	0	0	0	0	8	0	31	0	0	0	0	0	37	0	8
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriaceae___g__Collinsella	0	5	741	54	75	0	55	11	0	0	0	0	0	0	27	0	0	0	0	8	0	31	0	0	0	0	0	37	0	8
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriales_Incertae_Sedis	0	136	0	140	114	0	125	30	0	0	4	0	4	0	0	0	5	0	0	0	3	11	2	0	8	0	0	0	14	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriales_Incertae_Sedis___g__Raoultibacter	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae	0	24	73	142	64	31	121	43	36	13	4	7	33	6	8	0	13	4	2	2	5	27	122	0	17	62	9	123	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Adlercreutzia	0	0	0	11	30	0	58	43	0	0	0	0	0	0	8	0	0	4	0	0	5	27	35	0	7	5	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__DNF00809	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Eggerthella	0	0	73	0	0	31	5	0	30	13	0	0	0	6	0	0	0	0	2	2	0	0	87	0	0	4	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	9	53	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Gordonibacter	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Senegalimassilia	0	24	0	0	28	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	28	0	0
d__Bacteria___p__Actinobacteriota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Slackia	0	0	0	96	0	0	58	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	42	0	0
d__Bacteria___p__Bacteroidota	5835	2151	1410	838	4191	227	1785	369	390	3893	10821	7832	2813	1926	299	15579	8760	10131	17847	13173	10249	183	40	14343	4356	10505	58	4258	9980	8372
d__Bacteria___p__Bacteroidota___c__Bacteroidia	5835	2151	1410	838	4191	227	1785	369	390	3893	10821	7832	2813	1926	299	15579	8760	10131	17847	13173	10249	183	40	14343	4356	10505	58	4258	9980	8372
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales	5835	2135	1410	838	4191	227	1785	369	390	3893	10821	7776	2813	1926	299	15579	8697	10131	17847	13173	10249	183	40	14343	4356	10505	58	4258	9964	8372
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Bacteroidaceae	5085	1010	1196	394	2871	195	1262	320	318	2887	8883	7470	2067	1606	277	12257	2484	6419	15347	8428	8858	127	36	1138	2388	6485	30	1080	6661	7170
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Bacteroidaceae___g__Bacteroides	5085	1010	1196	394	2871	195	1262	320	318	2887	8883	7470	2067	1606	277	12257	2484	6419	15347	8428	8858	127	36	1138	2388	6485	30	1080	6661	7170
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae	24	353	0	19	137	0	104	0	0	0	583	99	7	216	0	271	489	58	0	239	0	10	0	113	20	0	0	0	697	413
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae___g__Barnesiella	0	353	0	19	137	0	104	0	0	0	583	79	7	216	0	271	464	0	0	239	0	10	0	103	20	0	0	0	697	385
d__Bacteria___p__Bacteroidota___c__Bacteroidia___o__Bacteroidales___f__Barnesiellaceae___g__Coprobacter	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	58	0	0	0	0	0	0	0	0	0	0	0	28
