clade_name	2001	2002	2003	2005	2006	2008	2009	2010	2011	2012	2013	2014	2016	2017	2018	2019	2021	2022	2023	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2046	2047	2049	2050	2051	2052	2053	2054	3001	3002	3003	3004	3005	3010	3011	3013	3014	3015	3016	3017	3018	3022	3026	3030	3031	3032	3036	3038	3039	3040	3042	3043	3045	3046	3047	3048	3050	3051	3053	3056	3057	3059	3060	3061	3063	3065	3066	3067	3068	3069	3070
k__Archaea	0	102	0	104	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	46	0	14	48	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	124	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
k__Bacteria	52133	45551	56767	46071	62085	38375	53666	33101	46409	37014	40760	29271	32032	28404	30870	29597	41608	41769	45990	44342	33009	45002	43644	50270	42246	47610	30711	39400	35374	32609	35860	32667	42469	41899	38795	30156	49353	35400	42601	49283	42729	39902	43768	68033	31663	38194	40421	40213	46652	43653	40501	40603	38050	48701	38483	46140	48127	45621	26106	46677	35990	34207	43466	46380	122284	37574	47569	42679	42570	44779	34961	35923	48485	34173	95954	40240	39452	42475	34939	43003	48340	38513	39078	40685	34727	31490	36897	40604	31069	38225
k__Archaea___p__Methanobacteriota	0	102	0	104	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	46	0	0	48	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	124	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
k__Archaea___p__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota	82	3510	778	2877	393	1826	205	2082	178	1579	149	674	2085	7260	236	504	424	193	567	3742	1145	245	7251	385	795	122	1318	1456	239	784	429	1504	129	415	46	40	400	295	258	27	5	326	1460	463	120	153	670	904	4952	598	420	129	581	758	124	2163	145	1682	116	197	1107	43	598	11	261	455	59	331	4916	151	594	76	2396	4124	1044	804	25	8711	153	529	73	2409	178	359	249	25	318	1397	88	330
k__Bacteria___p__Bacillota	34020	27237	34354	20057	60288	17807	24548	16150	35758	17391	18770	20853	17672	16652	21066	18032	26538	17573	13055	23817	7380	26038	25474	38624	30604	27794	23113	22160	17210	18282	26285	19259	22344	26554	37440	13065	34982	14572	27343	46008	23260	22316	38629	38279	17443	24462	32132	15002	28108	27397	12658	20121	20208	29487	21320	14627	20009	17044	18087	22154	34237	14371	15345	20559	106477	12506	22773	20288	13258	34716	20518	20810	13507	8137	48102	24735	35383	23480	22103	27973	13464	23325	20420	22203	10202	15477	33135	27583	14557	21530
k__Bacteria___p__Bacteroidota	17769	12890	20164	22065	1322	17897	28221	13142	9021	17114	19080	7054	9440	4048	7558	8791	13862	19004	31350	14913	23024	13972	9840	10103	9438	18392	5818	13884	16475	12581	8035	11714	16087	13865	1223	10232	8989	18881	13196	2236	19412	12297	3487	27824	13576	11472	5869	22758	11398	14379	26383	17074	16011	15817	14793	26745	27578	25034	7784	21593	560	19758	25667	22425	14301	23173	22363	17464	20647	8629	12177	13780	31888	17991	31261	12993	3421	9520	11594	11868	30676	10802	17248	17083	23275	14993	3207	9525	15678	8598
k__Bacteria___p__Campylobacterota	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	8	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Cyanobacteriota	0	0	0	0	0	0	28	0	42	0	0	0	0	0	0	0	0	0	0	0	0	1984	0	0	0	0	0	0	0	0	0	18	0	0	0	0	355	0	0	0	0	0	65	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
