clade_name	SRR30794472	SRR30794473	SRR30794474	SRR30794475	SRR30794476	SRR30794477	SRR30794478	SRR30794479	SRR30794480	SRR30794481	SRR30794482	SRR30794483	SRR30794484	SRR30794485	SRR30794486	SRR30794487	SRR30794488	SRR30794489	SRR30794490	SRR30794491	SRR30794492	SRR30794493	SRR30794494	SRR30794495	SRR30794496	SRR30794497	SRR30794498	SRR30794499	SRR30794500	SRR30794501	SRR30794502	SRR30794503	SRR30794504	SRR30794505	SRR30794506	SRR30794507	SRR30794508	SRR30794509	SRR30794510	SRR30794511	SRR30794512	SRR30794513	SRR30794514	SRR30794515	SRR30794516	SRR30794517	SRR30794518	SRR30794519	SRR30794520	SRR30794521	SRR30794522	SRR30794523	SRR30794524	SRR30794525	SRR30794526	SRR30794527	SRR30794528	SRR30794529	SRR30794530	SRR30794531	SRR30794532	SRR30794533	SRR30794534	SRR30794535	SRR30794536	SRR30794537	SRR30794538	SRR30794539	SRR30794540	SRR30794541	SRR30794542	SRR30794543	SRR30794544	SRR30794545	SRR30794546	SRR30794547	SRR30794548	SRR30794549	SRR30794550	SRR30794551	SRR30794552	SRR30794553	SRR30794554	SRR30794555	SRR30794556	SRR30794557	SRR30794558	SRR30794559	SRR30794560	SRR30794561	SRR30794562	SRR30794563	SRR30794564	SRR30794565	SRR30794566	SRR30794567	SRR30794568	SRR30794569	SRR30794570	SRR30794571	SRR30794572	SRR30794573	SRR30794574	SRR30794575	SRR30794576	SRR30794577	SRR30794578	SRR30794579	SRR30794580	SRR30794581	SRR30794582	SRR30794583	SRR30794584	SRR30794585	SRR30794586	SRR30794587	SRR30794588	SRR30794589	SRR30794590	SRR30794591	SRR30794592	SRR30794593	SRR30794594	SRR30794595	SRR30794596	SRR30794597	SRR30794598	SRR30794599	SRR30794600	SRR30794601	SRR30794602	SRR30794603	SRR30794604	SRR30794605	SRR30794606	SRR30794607	SRR30794608	SRR30794609	SRR30794610	SRR30794611	SRR30794612	SRR30794613	SRR30794614	SRR30794615	SRR30794616	SRR30794617	SRR30794618	SRR30794619	SRR30794620	SRR30794621	SRR30794622	SRR30794623	SRR30794624	SRR30794625	SRR30794626	SRR30794627	SRR30794628	SRR30794629	SRR30794630	SRR30794631	SRR30794632	SRR30794633	SRR30794634	SRR30794635	SRR30794636	SRR30794637	SRR30794638	SRR30794639	SRR30794640
d__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae___g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	31	0	268	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	32	4	0	0	0	0	0	0	0	169	166	523	0	5	42	0	0	0	0	0	0	0	0	293	20	0	664	2	0	0	25	364	49	278	0	0	0	0	0	0	0	0	0	359	880	0	0	0	0	0	0	0	0	0	0	0	0	3730	0	330	37	19	0	0	0	0	0	0	15	0	38	24	117	0	0	0	0	0	0	0	0	0	0	1105	445	0	0	0	0	140	612	518	3	22	5	0	0	0	0	0	0	0	1947	1944	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	39	50	0	0	0	0	0	0	0	0
d__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae___g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	56	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales___f__Methanomassiliicoccaceae___g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	24	0	0	0	0	0	0	0	0	0	0	0	3	3	8	0	0	0	0	0	0	0	0	0	43	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	6
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales___f__Methanomethylophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea___p__Thermoplasmatota___c__Thermoplasmata___o__Methanomassiliicoccales___f__Methanomethylophilaceae___g__Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	163	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Actinomyces	0	0	0	4	0	0	0	1	1	1	3	7	0	6	1	0	0	0	1	0	0	0	0	2	0	0	1	3	13	3	0	0	20	3	6	3	0	3	0	1	0	2	2	0	2	4	0	0	16	0	0	6	2	0	1	0	7	0	1	0	1	2	0	1	0	0	1	1	1	0	1	0	9	0	4	0	2	2	4	1	0	0	0	8	1	0	3	25	0	3	3	0	0	5	1	2	2	1	2	0	3	4	0	0	1	0	0	0	1	0	2	0	5	2	3	0	1	0	2	0	4	5	0	0	0	2	1	2	22	0	3	2	0	0	2	0	4	4	0	14	0	3	1	5	1	1	0	0	0	5	6	2	2	3	0	2	0	0	1	2	0	0	2	10	2	2	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Bifidobacterium	0	3	101	456	146	0	0	643	339	2862	762	1687	58	0	0	0	1	0	0	0	0	312	0	110	817	2580	221	196	915	9	139	250	423	309	2498	9	0	440	2	238	703	905	275	187	1259	181	0	0	65	0	1	1	0	10	23	0	831	6	346	126	27	0	0	0	0	0	7	118	93	11	8	15	552	37	208	10	24	16	276	956	1757	206	423	271	6	233	513	4881	12	1457	511	301	2108	446	161	899	367	201	274	99	177	54	307	32	9	111	186	268	109	38	33	8	45	4799	1061	11	27	198	491	158	235	1455	49	35	22	350	337	450	3759	0	0	0	6829	3189	0	0	212	633	60	471	20	10	19	37	13	79	494	6	0	2	0	978	686	3082	0	90	0	0	432	1947	68	272	94	137	4	0	292	7	28
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
